latency_us,count
1019,1
1095,1
1107,1
1126,1
1183,1
1190,1
1216,1
1222,1
1233,1
1267,1
1272,1
1306,1
1310,1
1313,1
1385,1
1386,1
1410,1
1439,1
1453,1
1476,1
1482,1
1517,1
1629,1
1635,1
1666,1
1728,1
1898,1
2413,1
2447,1
2465,1
2477,1
2483,1
2505,1
2539,1
2599,1
2601,1
2631,1
2643,1
2659,1
2661,1
2663,1
2699,1
2701,1
2709,1
2723,2
2727,1
2739,1
2745,2
2753,1
2757,1
2761,1
2763,1
2769,3
2771,2
2773,1
2781,1
2783,1
2785,1
2787,1
2801,1
2805,1
2811,1
2815,1
2817,1
2823,1
2827,1
2829,2
2833,2
2835,2
2847,1
2849,1
2851,1
2853,1
2857,1
2859,1
2861,1
2865,2
2867,1
2871,3
2873,1
2875,1
2877,1
2879,2
2881,2
2883,1
2885,2
2887,1
2889,3
2891,3
2895,2
2897,2
2899,2
2901,1
2903,4
2907,3
2909,5
2911,2
2915,3
2917,2
2919,6
2921,4
2923,7
2925,4
2927,2
2929,3
2931,4
2933,3
2935,5
2937,4
2939,4
2941,5
2943,5
2945,2
2947,5
2949,3
2953,6
2955,9
2957,8
2959,12
2961,6
2963,6
2965,9
2967,10
2969,5
2971,6
2973,9
2975,6
2977,9
2979,5
2981,6
2983,7
2985,7
2987,5
2989,7
2991,10
2993,13
2995,8
2997,13
2999,14
3001,6
3003,17
3005,6
3007,12
3009,9
3011,11
3013,13
3015,7
3017,8
3019,9
3021,8
3023,7
3025,6
3027,4
3029,6
3031,6
3033,7
3035,9
3037,3
3039,4
3041,4
3043,10
3045,10
3047,6
3049,3
3051,5
3053,5
3055,4
3057,2
3059,4
3061,2
3065,2
3067,4
3069,2
3073,1
3075,2
3077,4
3079,2
3081,3
3083,3
3085,2
3091,1
3093,1
3095,3
3097,2
3099,1
3101,2
3107,1
3111,3
3115,2
3117,1
3119,2
3121,2
3127,1
3137,1
3139,1
3145,3
3147,1
3149,1
3161,1
3165,1
3167,1
3171,1
3185,1
3189,1
3197,1
3199,1
