latency_us,count
1119,1
1262,1
1346,1
1360,1
1371,2
1390,1
1394,1
1396,1
1422,1
1451,1
1880,1
2175,1
2267,1
2309,1
2331,1
2365,1
2375,1
2423,1
2477,1
2505,1
2507,1
2539,1
2555,1
2563,1
2583,1
2591,1
2597,1
2603,1
2615,1
2619,1
2625,1
2635,1
2655,1
2663,1
2671,1
2705,1
2713,1
2721,1
2727,1
2731,1
2737,2
2747,1
2749,1
2763,1
2771,1
2787,2
2795,1
2805,1
2829,1
2847,1
2855,1
2861,1
2867,1
2883,2
2901,1
2909,1
2913,1
2915,1
2919,1
2921,1
2923,2
2925,1
2927,2
2929,3
2931,1
2933,1
2937,1
2943,1
2947,2
2951,1
2953,5
2955,1
2957,1
2959,2
2961,5
2963,1
2965,2
2967,1
2969,2
2971,3
2973,1
2975,1
2977,2
2979,2
2981,5
2983,1
2985,2
2987,1
2989,6
2991,3
2993,1
2995,4
2997,1
2999,1
3003,3
3005,3
3007,3
3009,1
3011,3
3013,2
3015,4
3017,3
3019,3
3021,7
3023,2
3025,1
3027,1
3029,4
3033,1
3035,2
3037,2
3039,2
3041,3
3043,3
3045,3
3047,1
3051,1
3055,3
3057,2
3061,2
3063,1
3065,2
3069,2
3073,1
3075,1
3077,1
3079,2
3081,2
3083,2
3087,2
3091,1
3093,2
3095,2
3097,2
3099,1
3101,2
3105,1
3113,1
3115,1
3119,1
3121,1
3123,1
3129,1
3139,1
3149,1
3151,1
3171,1
3181,1
3187,2
3197,1
3203,1
3205,1
3231,1
3243,1
3271,1
3273,1
3277,2
3281,2
3297,1
3299,2
3305,1
3313,1
3319,1
3329,1
3333,2
3345,1
3355,1
3367,1
3379,1
3383,1
3385,1
3389,1
3399,2
3421,1
3429,1
3435,2
3437,1
3449,2
3457,1
3463,1
3475,1
3479,1
3487,1
3491,1
3493,1
3499,1
3505,1
3517,1
3521,1
3523,1
3531,1
3537,1
3543,1
3547,1
3553,1
3557,1
3569,1
3571,3
3573,3
3577,1
3601,1
3607,1
3611,1
3617,1
3625,1
3631,1
3637,2
3645,1
3651,1
3679,1
3681,1
3683,1
3687,1
3691,1
3695,1
3703,1
3705,1
3719,1
3721,1
3723,1
3737,1
3739,2
3749,1
3751,1
3759,1
3765,1
3767,2
3769,1
3773,1
3775,1
3781,1
3787,1
3797,1
3803,1
3805,1
3809,1
3813,1
3823,1
3825,1
3827,1
3831,1
3833,2
3835,1
3837,1
3839,1
3841,1
3849,2
3853,1
3861,1
3865,2
3867,1
3869,1
3873,1
3879,2
3887,1
3893,1
3895,2
3899,2
3901,2
3903,1
3905,1
3907,2
3909,3
3911,3
3913,3
3915,4
3917,1
3919,2
3921,1
3923,1
3925,3
3927,8
3929,7
3931,6
3933,3
3935,4
3937,2
3939,2
3941,4
3943,2
3945,3
3947,5
3949,6
3951,5
3953,4
3955,8
3957,8
3959,5
3961,4
3963,4
3965,8
3967,6
3969,8
3971,7
3973,10
3975,8
3977,9
3979,12
3981,7
3983,9
3985,5
3987,8
3989,11
3991,4
3993,10
3995,4
3997,8
3999,15
4001,8
4003,11
4005,12
4007,9
4009,3
4011,10
4013,11
4015,8
4017,6
4019,10
4021,4
4023,3
4025,5
4027,4
4029,5
4031,13
4033,9
4035,6
4037,6
4039,5
4041,5
4043,7
4045,3
4047,11
4049,6
4051,2
4053,3
4055,3
4057,5
4059,2
4061,4
4065,2
4067,4
4069,4
4071,5
4073,6
4075,4
4077,5
4079,2
4081,2
4083,3
4085,2
4087,1
4089,2
4091,1
4095,2
4099,2
4107,4
4111,4
4115,3
4123,1
4127,2
4131,1
4135,3
4151,2
4155,2
4159,3
4171,2
4175,1
4179,1
4187,1
4195,2
4203,1
4215,1
4219,1
4227,1
4235,2
4247,1
4259,1
4263,1
4267,1
4271,1
4275,1
4279,1
4299,1
4303,2
4307,1
4319,1
4327,1
4339,1
4347,1
4351,1
4355,1
4359,1
4383,1
4399,1
4403,1
4423,1
4455,1
4491,1
4579,1
4647,1
4651,1
5015,1
5559,1
6999,1
7975,1
8327,1
8423,1
8607,1
8679,1
11055,1
11743,1
12975,1
14015,1
