latency_us,count
0,124
1,490
2,487
3,307
4,160
5,89
6,49
7,25
8,12
9,15
10,5
11,3
12,1
13,2
14,3
15,4
17,1
18,2
19,1
34,1
46,1
51,1
56,1
57,2
62,1
63,1
64,2
65,1
68,2
69,1
72,1
73,1
75,1
77,1
78,2
82,1
84,3
92,3
93,2
95,1
98,1
103,1
104,4
109,1
113,2
114,1
115,1
116,1
120,1
125,1
127,1
130,1
132,1
134,2
135,2
136,2
143,2
145,2
146,1
147,1
148,2
149,3
150,1
151,1
152,1
154,2
159,2
161,2
162,2
163,1
164,2
165,1
168,1
170,3
172,2
174,1
176,1
178,1
182,1
184,1
187,2
189,1
190,3
192,1
193,1
194,1
197,1
198,1
200,1
201,2
204,1
206,1
208,3
211,2
212,2
213,2
215,1
216,1
218,1
221,1
222,2
224,1
229,3
230,1
232,1
233,1
234,2
237,1
238,1
239,1
241,3
244,1
246,1
249,1
250,1
251,3
252,2
258,1
264,1
265,1
269,1
270,2
271,1
274,2
275,1
277,1
279,1
281,1
282,2
283,1
288,1
289,2
294,3
295,1
296,2
297,2
303,1
307,1
308,1
310,2
311,2
312,1
314,1
315,2
316,3
317,1
318,2
321,1
327,1
328,2
329,2
331,1
332,1
333,1
335,1
339,1
341,1
343,1
347,2
351,1
352,1
356,2
359,2
361,1
362,3
363,1
364,1
366,2
367,1
368,3
371,2
372,1
373,1
375,1
376,1
377,1
379,1
380,2
381,1
382,2
384,1
385,1
386,2
388,1
389,3
393,1
394,1
398,2
399,3
402,1
405,1
406,1
413,1
415,1
416,2
417,1
418,1
423,1
425,2
426,1
428,1
429,3
431,1
432,2
433,1
434,1
437,1
442,1
443,2
444,2
445,1
449,3
450,1
451,2
454,1
455,1
456,2
458,1
459,1
461,1
462,1
464,1
465,1
470,2
471,1
474,1
475,2
476,1
477,2
478,1
479,3
480,1
481,1
482,1
483,2
486,1
489,1
490,1
492,2
493,1
495,1
499,1
500,1
501,1
503,1
504,1
505,2
507,1
509,1
510,1
511,2
512,3
519,1
523,1
524,1
525,2
532,1
536,1
537,2
539,1
540,2
541,1
542,1
543,1
546,1
547,1
550,1
551,1
552,1
553,2
554,2
556,1
557,1
560,1
561,1
563,1
564,1
565,1
568,1
569,4
570,1
572,2
574,1
576,1
580,2
581,2
582,2
583,1
584,2
586,1
587,1
588,2
589,2
593,1
596,2
598,2
599,1
602,2
606,1
607,1
610,1
612,2
613,2
614,1
615,1
616,1
617,2
619,2
620,2
623,1
626,1
627,1
628,1
629,2
631,1
632,1
638,2
639,1
643,1
645,1
647,1
648,2
649,2
653,2
655,2
656,2
657,2
658,2
659,1
660,1
661,1
662,2
663,1
665,2
668,1
669,1
671,1
672,1
676,1
678,1
680,1
681,1
685,1
686,4
687,1
690,1
691,3
694,1
698,1
699,1
700,1
701,4
709,1
711,1
715,1
717,1
719,1
723,1
724,1
725,1
727,1
728,1
730,1
732,1
733,3
734,2
736,1
741,1
744,1
747,1
748,1
750,1
751,1
754,2
758,3
759,1
760,1
763,1
764,1
766,1
767,2
770,2
771,1
772,1
773,2
775,1
779,1
782,4
783,2
785,1
786,1
787,1
788,2
789,1
791,1
792,3
796,2
797,1
798,1
799,1
801,1
803,1
804,1
805,1
806,2
808,1
810,2
811,1
812,2
814,1
816,1
818,1
819,1
822,1
825,1
827,1
828,1
831,3
840,1
841,1
842,1
843,1
846,1
848,1
851,2
854,1
855,2
856,1
858,1
862,3
865,1
866,1
867,2
868,2
869,1
870,1
871,1
872,1
875,1
877,1
878,2
879,1
882,2
884,1
886,1
887,2
889,1
890,3
892,1
894,1
895,2
897,2
899,2
901,1
902,1
903,1
904,1
905,2
906,1
909,2
910,1
913,2
914,1
916,2
919,1
920,1
923,3
927,1
929,1
930,2
938,1
939,1
940,2
941,1
943,4
950,1
952,4
955,3
956,1
957,2
961,1
963,1
964,1
967,1
969,1
971,1
972,2
973,1
974,1
975,2
983,1
985,1
987,1
990,1
991,1
994,1
996,2
997,1
999,1
1000,2
1002,1
1004,2
1005,2
1006,1
1007,1
1010,1
1013,2
1015,1
1019,2
1020,2
1023,1
1024,2
1028,1
1030,1
1031,1
1032,2
1033,2
1035,1
1037,1
1038,1
1042,2
1043,1
1044,2
1046,1
1047,1
1051,1
1052,1
1055,1
1058,1
1060,1
1061,1
1064,2
1065,2
1066,3
1069,2
1070,1
1071,1
1072,2
1073,2
1075,1
1078,1
1079,1
1081,1
1084,2
1086,2
1088,3
1090,2
1091,2
1092,2
1095,1
1098,3
1100,1
1101,1
1102,1
1103,2
1106,2
1108,1
1110,1
1111,1
1116,4
1117,1
1121,1
1124,1
1126,1
1127,3
1128,1
1130,2
1131,2
1137,2
1139,1
1140,1
1142,1
1143,1
1145,2
1147,1
1151,2
1152,2
1154,1
1155,2
1157,1
1159,2
1163,1
1164,1
1166,1
1167,1
1168,1
1169,1
1174,1
1175,1
1180,2
1181,1
1182,2
1184,1
1186,1
1187,1
1188,2
1190,1
1191,1
1194,1
1195,3
1197,4
1200,1
1201,1
1202,1
1204,1
1207,1
1208,1
1209,1
1213,1
1215,1
1222,3
1223,1
1224,1
1225,1
1229,1
1230,1
1231,1
1233,3
1235,1
1236,1
1237,2
