latency_us,count
1006,1
1048,1
1050,1
1052,1
1061,1
1064,1
1069,1
1073,1
1081,1
1106,1
1112,1
1115,1
1121,1
1141,1
1159,1
1176,1
1203,1
1221,1
1223,1
1238,1
1246,1
1252,1
1262,1
1280,1
1285,1
1317,1
1337,1
1345,1
1351,1
1358,2
1365,1
1370,1
1389,1
1391,1
1398,1
1399,1
1403,1
1406,1
1410,1
1411,1
1417,1
1420,1
1432,1
1443,1
1448,1
1453,2
1454,1
1462,1
1469,1
1479,1
1482,1
1486,1
1500,1
1521,1
1528,1
1529,1
1622,1
1749,1
1775,1
1783,1
1799,1
1923,1
2079,1
2189,3
2203,1
2205,1
2213,1
2223,2
2231,1
2253,1
2261,1
2269,1
2271,1
2295,1
2357,1
2371,1
2375,2
2379,1
2405,1
2413,1
2419,3
2429,1
2433,1
2443,1
2447,1
2451,2
2455,1
2459,1
2473,1
2475,1
2477,1
2483,2
2485,1
2487,1
2489,1
2491,1
2493,1
2497,2
2499,1
2501,2
2503,1
2511,1
2519,1
2521,1
2525,1
2531,1
2539,4
2541,1
2545,2
2553,1
2559,1
2561,1
2563,1
2565,1
2573,1
2575,2
2577,4
2587,1
2589,2
2595,1
2597,2
2599,1
2603,1
2607,1
2611,4
2613,2
2615,2
2617,1
2619,4
2623,2
2625,4
2633,1
2635,1
2637,1
2639,1
2641,1
2647,2
2649,1
2653,1
2655,1
2657,1
2663,2
2667,1
2671,5
2675,1
2679,2
2685,3
2691,1
2695,1
2697,1
2699,4
2701,1
2711,2
2713,1
2715,1
2717,1
2721,4
2723,1
2729,1
2731,1
2735,1
2737,1
2743,1
2747,2
2749,2
2753,2
2757,2
2761,1
2763,1
2765,1
2773,1
2779,1
2783,2
2785,2
2787,1
2789,1
2791,1
2793,3
2795,1
2803,2
2807,1
2809,1
2819,3
2821,1
2827,1
2835,1
2839,4
2841,1
2849,1
2851,2
2853,2
2855,1
2859,3
2861,1
2865,2
2867,1
2871,3
2873,1
2875,1
2877,2
2879,2
2883,2
2885,3
2887,1
2889,1
2891,3
2893,1
2895,2
2897,5
2901,1
2903,7
2905,5
2907,5
2909,2
2911,9
2913,5
2915,6
2917,4
2919,2
2921,5
2925,6
2927,4
2929,7
2931,10
2933,6
2935,6
2937,6
2939,12
2941,8
2943,3
2945,8
2947,9
2949,10
2951,5
2953,10
2955,14
2957,8
2959,12
2961,6
2963,9
2965,3
2967,9
2969,13
2971,7
2973,4
2975,8
2977,7
2979,15
2981,8
2983,14
2985,17
2987,7
2989,13
2991,19
2993,15
2995,20
2997,17
2999,12
3001,12
3003,20
3005,9
3007,15
3009,11
3011,24
3013,13
3015,15
3017,12
3019,14
3021,12
3023,14
3025,12
3027,12
3029,6
3031,15
3033,10
3035,15
3037,9
3039,15
3041,5
3043,10
3045,11
3047,12
3049,4
3051,11
3053,6
3055,7
3057,11
3059,6
3061,5
3063,9
3065,7
3067,3
3069,5
3071,7
3073,4
3075,5
3077,5
3079,7
3081,3
3083,9
3085,4
3087,3
3089,2
3091,3
3093,6
3095,4
3099,5
3101,1
3103,2
3105,3
3107,2
3109,3
3111,2
3113,3
3115,4
3119,5
3123,2
3125,2
3127,2
3129,2
3131,2
3133,2
3135,1
3139,2
3143,1
3145,2
3149,2
3151,2
3153,1
3155,1
3159,1
3165,2
3167,1
3169,1
3171,1
3173,1
3175,3
3177,1
3179,2
3181,1
3183,1
3185,3
3191,1
3193,1
3195,1
3197,1
3199,2
3203,1
3209,1
3217,1
3219,1
3221,1
3223,3
3225,1
3231,2
3235,1
3237,2
3239,1
3241,1
3249,1
3251,2
3255,5
3259,1
3261,1
3263,1
3267,2
3269,1
3271,1
3273,1
3277,1
3279,1
3281,1
3283,1
3285,3
3289,1
3291,2
3295,3
3297,1
3307,1
3311,1
3313,3
3315,1
3321,1
3325,1
3327,2
3329,3
3333,1
3335,3
3337,1
3339,3
3341,1
3343,1
3345,1
3347,3
3349,1
3355,3
3359,1
3361,3
3365,1
3367,3
3369,2
3375,2
3379,1
3381,2
3383,2
3385,2
3387,1
3391,1
3395,3
3397,1
