latency_us,count
1198,1
1303,1
1350,1
1360,1
1365,1
1428,1
1429,1
1499,1
1556,1
2235,1
2311,1
2405,1
2435,1
2439,1
2445,1
2497,1
2503,1
2519,1
2521,1
2531,1
2537,1
2543,1
2545,1
2551,1
2571,1
2625,1
2627,1
2631,1
2649,1
2665,1
2667,2
2673,1
2697,1
2705,1
2727,1
2731,1
2753,1
2801,1
2811,1
2815,1
2829,1
2835,2
2845,1
2859,1
2889,3
2893,1
2899,1
2907,1
2909,1
2917,1
2919,1
2921,2
2923,1
2927,3
2931,1
2933,2
2935,3
2943,1
2947,2
2949,3
2951,1
2953,1
2955,4
2957,1
2963,1
2965,2
2969,1
2971,2
2977,1
2979,2
2981,2
2983,3
2985,3
2987,1
2991,1
2995,2
2999,4
3001,1
3003,3
3005,4
3007,5
3009,3
3011,1
3013,2
3015,1
3017,5
3019,3
3021,2
3023,3
3025,2
3027,2
3029,2
3031,4
3033,3
3035,2
3037,4
3041,4
3043,3
3045,2
3047,1
3049,2
3051,2
3057,1
3059,2
3061,2
3065,1
3067,1
3071,4
3073,2
3075,2
3077,3
3079,2
3081,1
3091,1
3095,1
3097,1
3101,1
3103,1
3105,1
3119,1
3125,2
3139,1
3157,1
3165,1
3169,1
3173,1
3203,1
3211,1
3215,1
3239,2
3255,1
3277,1
3287,1
3295,1
3299,1
3303,2
3309,1
3317,1
3355,1
3365,1
3375,1
3379,1
3405,1
3413,1
3429,1
3449,1
3457,1
3465,1
3467,1
3471,1
3473,2
3475,1
3483,1
3495,1
3505,1
3509,2
3523,1
3527,1
3529,1
3533,2
3535,1
3549,1
3551,1
3559,1
3563,2
3565,1
3567,1
3573,2
3577,2
3579,1
3581,1
3583,1
3595,1
3597,1
3599,1
3601,1
3603,1
3609,3
3613,1
3619,1
3621,1
3623,1
3625,1
3629,2
3635,1
3641,2
3643,1
3649,1
3655,1
3663,1
3669,1
3681,2
3685,1
3687,2
3689,1
3695,1
3705,2
3715,1
3721,1
3725,1
3731,1
3743,1
3755,1
3757,1
3761,1
3763,1
3767,1
3769,1
3771,1
3781,1
3787,2
3793,1
3795,1
3797,1
3809,1
3813,1
3817,2
3819,1
3823,2
3829,1
3833,1
3839,1
3841,1
3843,1
3845,1
3847,1
3853,2
3855,1
3857,3
3861,1
3863,1
3865,1
3871,1
3873,2
3875,3
3877,1
3883,3
3887,2
3889,4
3893,1
3897,6
3899,1
3901,2
3903,1
3905,3
3907,1
3909,2
3911,2
3913,1
3919,3
3921,4
3923,4
3925,1
3927,1
3929,5
3931,2
3933,3
3935,3
3937,3
3939,1
3941,3
3943,6
3945,4
3947,5
3951,8
3953,6
3955,3
3957,5
3959,8
3961,5
3963,6
3965,8
3967,8
3969,5
3971,2
3973,5
3975,8
3977,8
3979,8
3981,5
3983,8
3985,12
3987,17
3989,14
3991,6
3993,9
3995,9
3997,7
3999,10
4001,7
4003,13
4005,8
4007,7
4009,7
4011,12
4013,12
4015,6
4017,14
4019,6
4021,9
4023,10
4025,6
4027,4
4029,6
4031,9
4033,6
4035,11
4037,7
4039,2
4041,7
4043,7
4045,11
4047,5
4049,5
4051,6
4053,1
4055,6
4057,4
4061,3
4063,1
4065,1
4067,3
4069,3
4071,1
4073,1
4075,1
4077,1
4079,1
4081,3
4083,4
4085,4
4087,1
4091,2
4093,1
4099,1
4103,1
4107,2
4111,1
4115,3
4119,1
4131,2
4139,2
4143,2
4155,2
4159,1
4163,1
4171,1
4187,2
4191,1
4199,1
4203,3
4211,1
4219,1
4223,1
4231,1
4235,2
4243,2
4251,1
4259,1
4263,1
4267,1
4271,2
4283,2
4287,3
4291,1
4295,1
4299,1
4307,1
4311,2
4323,1
4327,1
4331,1
4339,1
4347,1
4351,1
4355,1
4359,1
4363,1
4371,1
4379,1
4387,2
4391,2
4395,1
4399,1
4411,1
4415,1
4427,1
4435,1
4447,1
4455,1
4459,1
4487,1
4491,1
4499,1
4503,2
4507,1
4539,1
4551,1
4607,1
4683,1
4847,1
4991,1
5015,1
5027,1
5431,1
5907,1
5923,1
6055,1
7779,1
7947,1
7975,1
8059,1
8075,1
8615,1
8631,1
9191,1
9351,1
14023,1
