latency_us,count
0,260
1,315
2,238
3,109
4,51
5,22
6,13
7,5
8,6
9,5
10,5
11,4
12,3
13,4
14,2
15,3
16,1
18,1
19,1
20,5
21,1
24,1
26,1
31,1
36,1
39,2
40,1
42,1
43,1
45,1
46,1
51,1
58,1
59,1
62,1
69,1
70,1
74,1
77,2
80,1
84,1
85,1
87,1
90,1
92,1
97,1
98,3
102,2
104,1
105,1
106,1
109,1
110,1
111,1
119,1
122,1
123,1
124,1
125,1
128,1
132,1
135,1
139,1
140,3
147,2
148,1
152,2
156,1
157,1
160,1
167,1
168,2
171,2
172,1
175,1
176,1
177,1
181,1
182,3
183,1
184,2
187,2
189,1
191,1
195,1
198,1
200,1
202,1
206,1
207,3
208,1
209,1
210,2
211,1
212,2
215,1
217,1
218,1
219,3
223,1
225,1
230,2
233,1
236,1
237,1
240,2
244,1
245,1
247,1
249,1
250,1
251,1
252,1
253,2
254,1
255,1
256,2
257,1
259,3
263,1
266,3
267,2
273,1
274,3
277,1
280,1
285,2
287,2
290,1
294,2
296,2
304,1
306,1
307,1
310,1
311,2
314,1
315,2
316,1
321,1
322,5
323,2
326,2
327,1
330,1
332,1
335,2
338,1
339,1
341,3
344,1
348,1
350,1
355,1
356,1
357,1
358,1
360,1
362,2
364,2
365,1
366,1
367,2
368,1
369,1
370,2
371,1
372,2
378,1
381,2
385,1
391,2
393,1
397,1
398,1
401,1
402,1
403,1
408,3
409,2
412,2
413,1
415,1
417,1
423,1
424,3
426,1
427,2
433,1
435,1
438,2
440,1
441,1
443,1
446,1
447,1
451,4
453,1
454,1
455,1
462,1
463,1
465,2
467,1
470,2
474,2
480,2
481,1
484,1
485,1
486,1
488,1
493,1
495,1
497,2
500,1
501,1
502,3
503,1
504,2
506,1
507,1
508,3
512,2
513,1
514,2
516,1
518,1
520,1
521,1
522,1
524,1
526,2
528,1
529,2
530,1
531,1
532,2
534,3
536,1
539,1
543,2
544,1
545,1
547,1
549,1
551,1
554,1
555,1
560,1
561,1
564,1
565,1
569,1
570,2
571,1
572,4
577,1
578,1
579,2
583,1
584,1
585,1
590,2
592,1
593,1
597,1
598,2
599,3
603,1
604,1
605,1
606,1
607,2
609,1
612,2
613,2
624,1
627,1
628,1
632,1
639,1
640,1
641,1
647,1
648,1
649,1
651,3
655,1
656,1
659,1
662,1
667,4
668,1
672,1
674,1
675,2
676,1
677,1
678,2
681,1
682,2
684,4
685,1
686,3
687,1
691,2
693,1
695,2
696,1
701,1
702,2
707,1
708,1
712,1
714,1
715,1
716,1
717,2
718,2
719,1
723,2
726,1
727,1
728,2
730,2
731,1
733,1
735,2
736,2
743,1
744,1
745,1
750,2
751,1
752,1
753,1
754,1
756,1
758,3
759,1
760,2
764,1
767,1
769,1
777,1
781,1
785,1
787,1
789,2
791,1
794,1
797,2
799,1
806,1
807,1
813,1
814,2
816,1
817,1
818,1
819,1
820,1
823,2
824,1
825,1
827,2
828,1
830,3
831,3
833,3
836,1
837,2
839,1
840,1
848,1
851,1
852,2
853,1
855,2
856,2
861,1
863,1
865,1
868,1
869,1
871,2
872,1
873,1
876,2
880,1
881,1
882,1
883,1
884,1
888,1
889,1
892,1
895,2
897,1
898,3
900,1
901,1
902,2
904,1
905,1
907,2
915,2
918,2
919,1
921,1
925,1
926,2
927,1
928,1
929,1
931,2
932,1
933,1
937,1
938,1
939,1
940,1
947,1
949,1
952,1
953,2
958,1
961,1
962,1
965,2
968,1
971,1
973,1
978,1
979,1
980,1
981,1
985,1
987,1
989,1
990,1
992,2
994,2
995,1
999,1
1001,1
1004,1
1007,1
1008,2
1009,1
1010,1
1013,1
1020,1
1021,1
1022,1
1024,1
1026,2
1028,1
1031,1
1032,2
1036,1
1042,3
1047,1
1054,1
1055,2
1060,2
1064,1
1066,2
1067,3
1070,1
1074,1
1076,2
1077,1
1080,1
1083,1
1085,1
1094,1
1096,1
1098,1
1099,1
1100,2
1102,2
1103,1
1104,1
1106,1
1117,1
1118,1
1120,1
1123,1
1125,1
1127,1
1131,1
1134,1
1137,1
1141,2
1143,1
1144,1
1145,1
1146,1
1147,2
1148,1
1149,1
1152,1
1153,1
1155,1
1157,1
1159,1
1160,1
1161,1
1163,1
1166,2
1170,1
1171,1
1172,3
1175,1
1177,1
1181,1
1182,1
1183,2
1185,2
1186,1
1187,1
1188,2
1192,1
1193,1
1195,1
1198,1
1200,1
1204,1
1205,1
1206,1
1207,1
1209,2
1210,1
1211,1
1212,1
1213,1
1215,1
1220,1
1221,2
1222,1
1227,2
1229,1
1230,2
1233,1
1235,2
1236,1
1237,3
1241,1
1242,1
1243,1
1245,1
1246,1
1251,1
1252,1
1254,1
1258,1
1260,1
1262,1
1264,2
1267,1
1270,1
1272,1
1273,2
1280,1
1281,1
1283,3
1284,1
