latency_us,count
1010,1
1067,1
1094,1
1096,1
1110,1
1119,1
1161,1
1183,1
1253,1
1259,1
1280,1
1302,1
1319,1
1322,2
1324,1
1331,1
1348,1
1356,1
1359,1
1363,1
1366,1
1374,1
1378,1
1391,1
1393,1
1395,1
1401,1
1407,1
1411,1
1412,1
1414,1
1421,1
1430,1
1441,1
1442,1
1450,1
1462,1
1464,1
1467,1
1468,1
1471,1
1477,1
1484,1
1488,1
1490,1
1491,1
1499,1
1500,1
1510,1
1511,1
1514,1
1519,1
1521,1
1548,1
1598,1
1688,1
1789,1
2077,1
2087,1
2117,1
2195,1
2209,1
2261,1
2281,1
2297,1
2311,1
2321,1
2327,1
2331,1
2335,1
2339,1
2371,1
2391,1
2399,1
2405,1
2421,1
2439,1
2445,1
2453,1
2455,1
2457,1
2465,1
2469,1
2471,1
2475,1
2485,1
2489,2
2499,2
2503,1
2505,1
2511,1
2515,1
2517,2
2519,1
2525,1
2529,1
2535,1
2537,1
2539,1
2541,3
2547,2
2549,1
2555,3
2563,2
2567,1
2571,3
2575,1
2577,3
2581,1
2585,1
2587,1
2589,2
2591,5
2593,1
2595,2
2599,1
2601,1
2605,1
2607,2
2609,1
2611,2
2613,1
2615,1
2621,1
2623,1
2625,2
2629,2
2633,3
2635,4
2637,1
2639,1
2641,1
2643,1
2645,1
2647,1
2653,2
2655,2
2657,1
2659,2
2665,1
2669,1
2671,1
2673,1
2675,4
2685,2
2687,1
2689,1
2691,1
2693,2
2695,3
2701,1
2703,2
2711,1
2713,2
2715,1
2717,2
2719,2
2721,1
2723,1
2729,2
2731,1
2733,2
2739,2
2745,1
2751,1
2753,1
2767,1
2775,2
2785,2
2789,2
2793,1
2795,1
2797,1
2799,1
2801,1
2811,2
2817,1
2821,1
2827,3
2829,3
2831,1
2835,2
2839,1
2841,2
2843,1
2845,4
2851,1
2853,1
2855,2
2859,1
2861,2
2871,1
2875,2
2877,3
2879,2
2881,1
2883,6
2885,1
2887,2
2889,2
2891,2
2895,2
2897,1
2899,2
2901,1
2903,7
2905,3
2907,4
2909,3
2911,3
2913,4
2915,6
2917,2
2919,8
2921,2
2923,6
2925,3
2927,1
2929,6
2931,4
2933,3
2935,3
2937,13
2939,3
2941,3
2943,10
2945,11
2947,6
2949,6
2951,7
2953,8
2955,6
2957,6
2959,2
2961,4
2963,7
2965,5
2967,8
2969,7
2971,11
2973,15
2975,19
2977,10
2979,14
2981,12
2983,12
2985,20
2987,8
2989,13
2991,11
2993,14
2995,9
2997,14
2999,17
3001,11
3003,11
3005,16
3007,12
3009,17
3011,15
3013,16
3015,14
3017,11
3019,13
3021,8
3023,16
3025,12
3027,14
3029,9
3031,8
3033,13
3035,10
3037,16
3039,4
3041,13
3043,7
3045,9
3047,6
3049,7
3051,11
3053,9
3055,8
3057,13
3059,6
3061,11
3063,5
3065,4
3067,4
3069,3
3071,9
3073,2
3075,5
3077,2
3079,5
3081,7
3083,6
3085,1
3087,4
3089,4
3091,1
3093,1
3095,3
3097,1
3099,5
3101,4
3103,3
3107,3
3109,1
3111,4
3113,2
3115,1
3117,3
3119,3
3121,5
3123,1
3127,1
3129,1
3131,1
3133,2
3135,2
3139,1
3141,2
3143,1
3145,1
3147,1
3151,3
3153,1
3155,2
3159,1
3163,2
3167,1
3171,2
3173,1
3177,4
3179,1
3181,1
3185,2
3191,2
3193,2
3195,2
3197,2
3201,1
3203,1
3205,2
3209,1
3213,1
3215,1
3217,1
3219,2
3221,1
3225,2
3227,1
3229,1
3233,2
3241,2
3253,1
3255,1
3257,1
3259,1
3269,1
3271,2
3275,2
