latency_us,count
1088,1
1223,1
1377,1
1379,1
1414,1
1522,1
1524,1
1544,1
1551,1
1924,1
1956,1
2327,1
2379,1
2535,1
2597,1
2605,1
2611,1
2621,2
2665,1
2695,1
2731,1
2733,1
2753,1
2765,1
2779,1
2781,1
2783,1
2787,1
2791,1
2795,2
2799,1
2801,1
2803,1
2805,1
2809,1
2811,1
2819,1
2835,1
2837,1
2839,1
2841,1
2843,1
2849,1
2851,1
2853,2
2859,1
2865,1
2883,3
2891,1
2897,1
2901,1
2909,2
2913,1
2915,3
2917,1
2921,1
2923,2
2925,1
2929,2
2931,1
2935,2
2939,1
2945,1
2947,2
2949,2
2951,1
2955,2
2957,3
2959,2
2961,3
2963,1
2965,1
2969,3
2971,3
2973,2
2975,2
2977,4
2979,4
2981,2
2983,4
2985,5
2987,3
2989,3
2991,1
2993,2
2997,3
2999,4
3001,3
3003,2
3005,1
3007,4
3011,1
3013,3
3015,2
3017,4
3019,1
3021,4
3023,2
3025,1
3027,3
3033,1
3037,2
3039,1
3041,2
3043,2
3047,3
3049,4
3051,1
3055,1
3059,1
3065,2
3067,2
3069,1
3073,1
3075,2
3077,1
3081,2
3089,1
3097,2
3103,1
3109,1
3123,1
3127,1
3167,1
3187,1
3195,1
3281,1
3365,1
3375,1
3379,1
3397,1
3431,1
3435,1
3461,1
3467,1
3493,1
3495,2
3523,2
3527,1
3553,1
3561,1
3567,2
3573,1
3583,1
3587,1
3595,2
3603,2
3617,1
3619,1
3621,1
3635,1
3641,1
3647,1
3649,1
3651,2
3655,2
3663,2
3665,2
3669,1
3683,1
3689,2
3691,1
3699,1
3701,1
3703,2
3705,3
3717,1
3721,1
3723,2
3731,1
3733,2
3735,1
3737,2
3739,2
3741,1
3747,1
3751,2
3755,1
3759,1
3763,1
3765,2
3767,2
3769,2
3771,1
3775,1
3777,1
3785,2
3787,1
3789,3
3791,1
3793,2
3795,1
3799,2
3801,3
3803,2
3805,2
3811,2
3813,2
3821,1
3823,2
3825,1
3827,3
3829,2
3831,4
3833,2
3835,3
3837,3
3841,1
3843,2
3845,2
3849,1
3851,1
3853,1
3855,1
3857,6
3859,3
3861,2
3865,2
3871,1
3873,2
3875,7
3877,1
3879,1
3881,1
3883,3
3885,2
3887,2
3889,7
3891,3
3893,4
3895,2
3897,2
3899,1
3901,1
3905,4
3907,3
3909,3
3911,4
3913,3
3915,4
3917,5
3919,4
3921,4
3923,8
3925,4
3927,5
3929,6
3931,1
3933,4
3935,9
3937,5
3939,5
3941,3
3943,4
3945,6
3947,1
3949,9
3951,7
3953,8
3955,9
3957,5
3959,6
3961,6
3963,11
3965,5
3967,4
3969,6
3971,5
3973,8
3975,8
3977,9
3979,7
3981,7
3983,8
3985,10
3987,5
3989,8
3991,6
3993,8
3995,10
3997,7
3999,6
4001,10
4003,7
4005,6
4007,8
4009,7
4011,4
4013,6
4015,8
4017,8
4019,8
4021,7
4023,11
4025,3
4027,8
4029,7
4031,5
4033,1
4035,5
4037,6
4039,4
4041,3
4043,3
4045,5
4047,2
4049,2
4051,8
4053,2
4055,3
4057,1
4059,1
4061,4
4063,4
4065,4
4067,4
4069,5
4071,1
4073,2
4075,2
4077,1
4079,3
4081,1
4085,2
4087,2
4089,1
4099,2
4103,1
4107,2
4119,2
4127,1
4135,2
4139,2
4143,1
4147,2
4151,2
4163,1
4175,1
4179,1
4207,2
4211,2
4223,1
4239,1
4255,1
4271,1
4283,1
4295,2
4307,1
4311,1
4319,1
4335,1
4419,1
4423,1
4459,1
4467,1
4475,2
4495,1
4547,1
4635,1
4743,1
4751,1
4811,1
4819,2
4871,1
4907,1
4939,1
4955,1
4959,1
4979,1
4983,1
4987,1
5011,1
5019,2
5023,1
5039,2
5067,1
5123,1
5171,1
5307,2
5583,1
5947,1
5963,1
5999,1
6035,1
6723,1
6855,1
6975,1
7039,1
7055,1
8127,1
8391,1
8567,1
13111,1
17039,1
17983,1
19007,1
