latency_us,count
0,59
1,280
2,365
3,306
4,251
5,168
6,105
7,92
8,56
9,38
10,28
11,17
12,6
13,2
14,2
15,1
16,1
19,2
20,3
29,1
34,1
35,7
36,4
37,5
38,7
39,8
40,12
41,12
42,5
43,7
44,14
45,8
46,13
47,17
48,17
49,22
50,22
51,17
52,19
53,14
54,17
55,11
56,14
57,10
58,15
59,14
60,27
61,15
62,17
63,20
64,13
65,16
66,25
67,11
68,17
69,12
70,12
71,17
72,14
73,10
74,13
75,15
76,10
77,15
78,18
79,8
80,14
81,16
82,16
83,11
84,19
85,13
86,17
87,19
88,16
89,15
90,19
91,16
92,22
93,19
94,15
95,19
96,20
97,20
98,17
99,17
100,9
101,14
102,13
103,14
104,15
105,14
106,19
107,13
108,9
109,21
110,14
111,21
112,9
113,18
114,15
115,18
116,12
117,17
118,7
119,16
120,14
121,14
122,11
123,8
124,8
125,12
126,12
127,17
128,15
129,19
130,12
131,13
132,12
133,14
134,10
135,10
136,11
137,11
138,14
139,12
140,14
141,9
142,8
143,7
144,9
145,11
146,11
147,9
148,4
149,13
150,6
151,12
152,5
153,11
154,11
155,7
156,7
157,6
158,6
159,8
160,6
161,14
162,1
163,11
164,5
165,13
166,5
167,14
168,9
169,9
170,15
171,3
172,4
173,9
174,11
175,6
176,8
177,8
178,13
179,11
180,9
181,8
182,7
183,7
184,7
185,13
186,5
187,7
188,8
189,7
190,3
191,6
192,7
193,5
194,9
195,5
196,7
197,3
198,10
199,6
200,5
201,4
202,6
203,6
204,8
205,6
206,8
207,7
208,6
209,6
210,5
211,4
212,5
213,6
214,2
215,3
216,3
217,1
218,4
219,4
220,2
221,4
223,1
224,2
226,3
227,6
228,1
229,2
230,7
231,3
232,1
234,3
235,1
236,5
237,3
238,2
239,2
240,4
242,2
243,1
245,3
246,5
247,1
248,3
249,5
250,1
251,3
252,1
253,1
254,3
255,3
256,2
257,2
258,2
259,2
260,3
261,5
262,1
263,1
264,2
265,3
266,2
268,3
269,2
270,2
271,1
272,1
274,1
275,1
276,2
277,2
278,4
279,3
280,3
282,2
283,2
284,7
286,3
287,1
288,2
289,2
293,1
294,1
300,3
301,2
305,2
306,1
309,1
314,1
315,1
316,1
318,1
319,2
323,1
324,2
326,1
327,1
328,1
331,1
337,1
339,3
344,2
345,1
346,2
348,2
349,3
353,1
354,1
356,1
357,1
360,1
363,1
365,1
366,1
368,2
369,1
372,2
375,1
378,2
382,1
391,1
393,1
395,1
397,1
401,1
404,1
416,1
418,1
425,1
429,1
437,1
448,1
452,1
453,1
468,1
475,1
477,1
497,1
525,1
532,1
533,1
562,1
614,1
724,1
