latency_us,count
1074,1
1077,1
1113,1
1120,1
1131,1
1147,1
1165,1
1166,1
1174,1
1182,1
1186,1
1192,1
1198,1
1208,1
1209,1
1213,1
1221,1
1231,1
1235,1
1268,1
1291,1
1293,1
1294,2
1300,2
1311,1
1331,1
1333,1
1335,1
1341,1
1358,1
1384,2
1390,1
1403,1
1405,2
1414,1
1421,1
1423,1
1435,1
1450,1
1468,1
1475,1
1498,1
1501,1
1503,1
1515,1
1553,1
1554,1
1563,1
1565,1
1593,2
1594,1
1597,1
1654,1
1679,1
1715,1
1745,1
1755,1
1773,1
1828,1
1856,1
1865,1
1911,1
1924,1
2069,1
2251,1
2353,1
2421,1
2441,1
2449,1
2457,1
2469,2
2473,2
2477,1
2479,2
2481,1
2487,1
2493,3
2495,1
2501,1
2511,2
2515,1
2533,1
2541,1
2543,1
2551,1
2561,1
2571,2
2575,1
2585,2
2587,1
2589,1
2593,1
2595,1
2597,1
2609,2
2615,1
2619,1
2623,1
2627,1
2631,1
2633,1
2635,1
2637,1
2639,2
2645,1
2649,1
2651,2
2653,1
2655,1
2659,2
2663,2
2665,1
2669,1
2673,1
2679,1
2681,1
2685,1
2691,1
2695,1
2697,1
2699,2
2701,2
2703,1
2707,1
2715,1
2721,3
2723,1
2729,1
2731,1
2737,2
2739,2
2741,1
2743,2
2745,2
2747,2
2749,1
2751,4
2753,2
2755,1
2759,1
2761,1
2763,1
2765,1
2767,3
2769,2
2771,1
2775,4
2777,4
2779,2
2781,5
2783,3
2785,3
2787,3
2789,5
2791,5
2795,3
2797,4
2801,1
2803,1
2805,3
2807,1
2811,5
2813,1
2815,3
2817,3
2819,4
2821,1
2823,2
2825,2
2827,2
2829,6
2831,3
2833,2
2837,2
2839,2
2843,1
2845,4
2847,2
2849,1
2851,2
2853,7
2855,3
2857,3
2859,5
2861,4
2863,5
2865,2
2869,2
2871,3
2873,4
2875,5
2879,5
2881,4
2883,2
2885,6
2887,5
2889,5
2891,5
2893,6
2895,2
2897,6
2899,4
2901,3
2903,6
2905,3
2907,7
2909,4
2911,5
2913,5
2915,3
2917,6
2919,7
2921,7
2923,4
2925,3
2927,8
2929,3
2931,6
2933,6
2935,6
2937,6
2939,11
2941,10
2943,4
2945,11
2947,8
2949,7
2951,8
2953,13
2955,10
2957,12
2959,9
2961,4
2963,13
2965,9
2967,6
2969,12
2971,18
2973,9
2975,12
2977,13
2979,10
2981,14
2983,13
2985,14
2987,9
2989,13
2991,12
2993,8
2995,10
2997,8
2999,11
3001,9
3003,17
3005,11
3007,10
3009,12
3011,13
3013,10
3015,10
3017,13
3019,11
3021,12
3023,15
3025,12
3027,11
3029,12
3031,12
3033,7
3035,10
3037,13
3039,16
3041,8
3043,8
3045,8
3047,8
3049,8
3051,5
3053,4
3055,7
3057,4
3059,4
3061,9
3063,9
3065,11
3067,6
3069,5
3071,12
3073,3
3075,1
3077,6
3079,3
3081,4
3083,8
3085,4
3087,5
3089,3
3091,1
3093,4
3095,1
3097,3
3099,1
3101,3
3103,5
3105,1
3107,2
3109,2
3111,3
3113,2
3119,2
3121,1
3125,1
3133,1
3141,1
3149,1
3151,2
3153,2
3163,1
3165,1
3167,1
3169,1
3179,1
3181,1
3187,1
3197,2
3203,2
3205,1
3209,1
3217,1
3219,1
3221,1
3223,1
3233,2
3235,1
3241,1
3249,1
3251,1
3257,1
3267,1
3271,2
3281,1
3283,1
3287,1
3289,1
3293,2
3301,1
3313,1
3317,2
3321,1
3327,1
3335,1
3351,1
3357,2
3359,1
3361,1
3363,2
3373,1
3375,1
3377,2
3385,1
3387,1
3393,1
3401,1
3411,2
3415,2
3423,1
3431,2
3435,1
3437,1
3439,2
3441,2
3443,1
3447,1
3451,2
3453,2
3457,2
3463,1
3465,2
3467,2
3469,2
3475,2
3479,1
3483,1
3485,1
3487,1
3489,1
3491,3
3503,2
3505,1
3507,1
3509,1
3513,1
3517,1
3519,1
3521,1
3523,4
3525,1
3527,1
3529,2
3531,1
3533,5
3535,2
3541,2
3545,1
3547,1
3549,1
3551,1
3553,1
3555,1
3559,2
3561,1
3563,1
3565,1
3569,2
3573,2
3575,3
3579,4
3581,3
3583,4
3585,2
3587,1
3589,3
3593,1
3595,1
3597,2
3601,2
3609,1
3611,1
3613,3
3615,2
3617,2
3619,4
3623,2
3625,2
3627,1
3629,2
3631,3
3633,3
3635,5
3637,1
3639,3
3641,2
3643,2
3645,3
3647,4
3651,3
3653,5
3655,2
3657,3
3659,1
3661,1
3663,3
3665,1
3667,4
3671,5
3673,1
3675,2
3677,4
3679,2
3681,1
3683,4
3685,2
3687,1
3691,4
3693,5
3695,4
3697,3
3699,3
3701,1
3703,2
3705,4
3707,4
3709,4
3711,1
3713,3
3715,4
3717,3
3719,2
3721,3
3723,3
3725,2
3727,4
3729,2
3731,5
3733,2
3735,4
3737,2
3739,1
3741,4
3743,2
3745,5
3747,5
3749,4
3751,1
3753,4
3755,7
3757,9
3759,4
3761,6
3763,3
3765,5
3767,5
