latency_us,count
0,335
1,534
2,454
3,348
4,327
5,243
6,162
7,111
8,108
9,78
10,60
11,57
12,59
13,40
14,39
15,49
16,32
17,46
18,44
19,46
20,40
21,38
22,50
23,43
24,45
25,44
26,30
27,36
28,27
29,44
30,38
31,35
32,22
33,28
34,26
35,21
36,21
37,14
38,18
39,15
40,19
41,17
42,14
43,10
44,15
45,13
46,11
47,11
48,11
49,7
50,6
51,3
52,7
53,5
54,5
55,3
56,4
57,4
58,7
59,7
60,4
61,3
63,1
64,1
65,3
68,5
69,1
70,2
71,2
74,1
75,1
77,1
78,2
79,3
80,3
82,1
84,3
85,1
88,1
89,2
91,1
96,1
97,1
100,1
103,1
105,3
106,1
107,1
115,1
129,1
132,2
138,1
145,1
149,1
155,1
161,1
167,1
169,1
177,1
181,1
182,1
183,1
187,1
191,1
192,1
194,1
195,1
196,2
202,1
218,1
219,1
220,1
221,1
232,1
237,1
241,1
251,1
288,1
303,1
336,1
344,1
418,1
440,1
446,1
450,1
563,1
608,1
947,1
1063,1
1065,1
1082,1
1100,1
1140,1
1228,1
1317,1
1344,1
1380,1
1465,1
1532,1
1700,1
1749,1
1769,1
1783,1
1826,1
2059,1
