latency_us,count
1084,1
1135,1
1153,1
1238,1
1345,1
1347,1
1356,1
1381,1
1384,1
1386,1
1420,1
1434,1
1444,1
1450,1
1516,1
1565,1
2515,1
2531,1
2539,2
2569,1
2603,1
2625,1
2639,1
2645,1
2647,1
2737,1
2775,1
2807,1
2821,1
2835,1
2869,1
2881,1
2883,1
2885,1
2887,1
2891,1
2893,1
2897,1
2901,2
2905,3
2909,2
2911,2
2913,1
2915,1
2917,2
2919,1
2921,1
2925,2
2927,2
2929,1
2931,1
2933,1
2935,4
2941,4
2945,1
2947,3
2949,2
2951,1
2953,6
2955,1
2957,3
2959,1
2961,2
2963,4
2965,1
2967,3
2969,5
2971,1
2973,2
2975,4
2977,1
2979,7
2981,1
2983,7
2985,2
2987,3
2989,4
2991,6
2993,3
2995,3
2997,6
2999,2
3001,1
3003,2
3005,5
3007,3
3009,4
3011,3
3013,4
3015,3
3017,2
3019,1
3021,4
3023,2
3025,2
3027,2
3029,1
3031,1
3033,2
3035,3
3037,3
3039,3
3041,2
3043,2
3045,1
3047,2
3049,3
3053,2
3055,2
3057,4
3061,1
3065,2
3067,1
3071,3
3077,1
3079,1
3087,1
3091,1
3107,2
3111,1
3115,1
3119,1
3163,1
3251,1
3303,1
3389,1
3403,1
3519,1
3655,1
3721,1
3769,1
3827,1
3837,1
3847,1
3859,2
3865,1
3867,1
3869,1
3871,1
3879,1
3881,1
3885,1
3887,4
3889,1
3891,2
3893,3
3895,1
3897,3
3901,1
3903,2
3905,3
3907,2
3909,4
3911,2
3913,4
3915,8
3917,4
3919,1
3921,6
3923,6
3925,4
3927,7
3929,10
3931,6
3933,5
3935,8
3937,6
3939,8
3941,9
3943,10
3945,10
3947,9
3949,6
3951,10
3953,12
3955,7
3957,12
3959,7
3961,12
3963,11
3965,7
3967,10
3969,13
3971,13
3973,10
3975,11
3977,20
3979,8
3981,7
3983,18
3985,3
3987,7
3989,13
3991,9
3993,12
3995,16
3997,12
3999,19
4001,8
4003,12
4005,10
4007,15
4009,11
4011,7
4013,9
4015,12
4017,7
4019,11
4021,6
4023,6
4025,10
4027,4
4029,7
4031,4
4033,8
4035,4
4037,5
4039,7
4041,10
4043,3
4045,4
4047,6
4049,8
4051,4
4053,2
4055,6
4059,3
4061,2
4063,1
4065,2
4067,1
4069,4
4071,2
4073,3
4075,2
4077,2
4079,1
4083,2
4085,2
4089,1
4093,2
4095,1
4099,2
4107,1
4111,1
4119,2
4127,1
4135,2
4147,1
4295,1
4855,1
4983,1
4999,1
5015,1
5279,1
5971,1
6239,1
6995,1
8319,1
8455,1
8639,1
9567,1
14311,1
