latency_us,count
1226,1
1242,1
1259,1
1270,1
1288,1
1305,1
1309,1
1372,1
1384,1
1397,1
1423,1
1442,1
1483,1
1493,1
1520,1
1540,1
2119,1
2493,1
2541,1
2611,1
2623,1
2657,1
2855,1
2865,1
2869,1
2885,2
2887,2
2889,1
2891,1
2895,2
2897,2
2899,3
2909,1
2911,1
2913,3
2915,2
2917,3
2919,2
2921,3
2923,3
2925,3
2927,3
2929,2
2931,2
2933,3
2939,1
2941,3
2943,1
2945,1
2947,4
2949,3
2951,2
2953,3
2955,6
2957,3
2959,3
2961,5
2963,3
2965,4
2969,6
2971,4
2973,5
2975,4
2977,4
2979,4
2981,4
2983,2
2985,4
2987,2
2989,3
2991,3
2993,2
2995,2
2997,4
2999,4
3001,4
3003,3
3005,4
3007,4
3009,2
3011,4
3013,1
3015,3
3017,2
3019,3
3021,4
3023,2
3025,3
3027,2
3029,5
3031,1
3033,1
3035,2
3037,2
3041,1
3043,2
3047,4
3049,1
3051,1
3053,2
3057,2
3059,1
3063,1
3067,1
3073,1
3077,2
3087,2
3101,1
3115,1
3347,1
3435,1
3473,1
3489,1
3657,1
3721,1
3723,1
3755,1
3813,2
3825,2
3837,1
3841,2
3845,1
3847,1
3855,1
3861,1
3865,1
3869,2
3875,1
3877,1
3881,2
3883,2
3885,5
3887,1
3889,1
3891,2
3893,1
3895,1
3897,2
3899,1
3901,4
3905,5
3907,2
3909,2
3911,3
3913,2
3915,2
3917,2
3919,3
3921,2
3923,6
3925,4
3927,3
3929,2
3931,2
3933,4
3935,4
3937,5
3939,3
3941,5
3943,9
3945,8
3947,9
3949,6
3951,9
3953,11
3955,8
3957,11
3959,9
3961,6
3963,15
3965,8
3967,14
3969,12
3971,16
3973,9
3975,15
3977,7
3979,9
3981,8
3983,12
3985,13
3987,9
3989,10
3991,13
3993,15
3995,10
3997,15
3999,15
4001,9
4003,13
4005,17
4007,16
4009,10
4011,9
4013,8
4015,7
4017,14
4019,11
4021,10
4023,6
4025,3
4027,7
4029,9
4031,10
4033,12
4035,8
4037,7
4039,7
4041,3
4043,10
4045,9
4047,7
4049,8
4051,2
4053,5
4055,4
4057,2
4059,2
4063,2
4065,2
4067,4
4069,3
4071,1
4073,1
4075,1
4077,3
4081,2
4089,1
4093,1
4099,1
4115,1
4123,1
4127,1
4143,1
4147,1
4151,1
4155,1
4303,1
4343,1
4351,2
4491,1
4663,1
4767,1
4959,1
4971,1
4995,1
5031,1
5979,1
6003,1
8019,1
8319,1
8391,1
8583,1
9639,1
13111,1
14471,1
