latency_us,count
0,63
1,246
2,461
3,409
4,415
5,301
6,190
7,152
8,81
9,75
10,68
11,69
12,59
13,44
14,48
15,33
16,45
17,48
18,35
19,47
20,48
21,45
22,43
23,34
24,43
25,43
26,53
27,38
28,49
29,44
30,37
31,33
32,35
33,41
34,28
35,41
36,28
37,22
38,33
39,26
40,30
41,24
42,26
43,17
44,17
45,19
46,22
47,18
48,18
49,17
50,14
51,13
52,12
53,21
54,9
55,14
56,9
57,10
58,8
59,9
60,9
61,7
62,5
63,3
64,5
65,4
66,1
67,5
68,1
69,5
70,5
71,2
72,1
73,2
74,3
75,3
76,2
77,1
78,1
79,2
80,2
81,2
84,1
85,1
86,1
87,1
91,1
94,1
95,1
99,1
103,1
117,1
125,2
134,2
146,1
151,1
152,1
153,1
159,1
164,1
179,1
182,1
183,1
189,1
202,1
209,1
211,1
217,2
219,1
221,2
224,1
229,1
233,2
234,1
236,1
237,1
241,1
248,2
285,1
304,1
3193,1
3913,1
