latency_us,count
1050,1
1067,1
1175,1
1210,1
1220,1
1221,1
1243,1
1264,1
1267,1
1274,1
1275,1
1277,1
1289,1
1294,1
1299,3
1305,1
1308,2
1312,1
1316,1
1319,1
1320,1
1322,1
1324,2
1327,1
1329,1
1331,1
1332,1
1334,1
1335,1
1339,2
1341,1
1344,1
1346,1
1354,1
1363,1
1368,1
1369,1
1370,1
1374,1
1383,1
1395,1
1407,1
1417,1
1418,1
1423,1
1435,1
1444,1
1453,1
1478,2
1506,1
1512,1
1547,1
1563,1
1597,1
1620,1
1709,1
1715,1
1806,1
1871,1
1927,1
1931,1
1970,1
2063,1
2275,1
2391,1
2445,1
2463,1
2479,2
2483,1
2523,1
2525,1
2527,1
2541,1
2551,1
2553,1
2557,1
2569,1
2575,1
2579,1
2589,1
2593,1
2599,1
2601,1
2611,1
2619,2
2631,1
2633,1
2635,2
2637,1
2639,1
2643,1
2649,1
2663,1
2665,1
2667,2
2669,1
2671,1
2673,1
2675,1
2677,1
2679,1
2681,1
2683,1
2685,1
2691,1
2695,1
2697,1
2699,1
2715,1
2727,1
2729,2
2731,1
2741,1
2751,1
2757,2
2763,1
2773,1
2777,1
2779,1
2785,1
2803,1
2815,1
2823,1
2833,1
2841,2
2845,1
2849,1
2851,1
2853,3
2855,1
2857,2
2859,2
2861,1
2863,2
2867,1
2869,1
2871,2
2873,3
2875,3
2877,3
2879,6
2881,6
2883,3
2885,5
2887,1
2889,4
2891,2
2893,3
2895,3
2897,6
2899,6
2901,9
2903,7
2905,5
2907,5
2909,10
2911,4
2913,5
2915,6
2917,8
2919,6
2921,6
2923,3
2925,5
2927,8
2929,5
2931,4
2933,3
2935,5
2937,4
2939,10
2941,12
2943,10
2945,10
2947,7
2949,11
2951,10
2953,6
2955,16
2957,8
2959,18
2961,15
2963,11
2965,13
2967,13
2969,13
2971,7
2973,15
2975,18
2977,12
2979,13
2981,11
2983,18
2985,15
2987,14
2989,13
2991,16
2993,12
2995,18
2997,13
2999,29
3001,16
3003,12
3005,17
3007,12
3009,19
3011,15
3013,14
3015,7
3017,15
3019,14
3021,17
3023,14
3025,12
3027,18
3029,11
3031,12
3033,14
3035,9
3037,11
3039,11
3041,12
3043,8
3045,8
3047,13
3049,3
3051,8
3053,7
3055,6
3057,8
3059,6
3061,6
3063,8
3065,13
3067,2
3069,6
3071,8
3073,3
3075,3
3077,4
3079,3
3081,3
3083,3
3085,4
3087,4
3089,3
3091,3
3093,1
3095,3
3099,4
3101,2
3103,1
3105,2
3107,1
3109,1
3111,1
3113,1
3115,1
3117,2
3119,2
3121,1
3125,1
3131,1
3135,2
3141,1
3169,1
3249,1
3293,1
3319,1
3397,1
3443,1
3465,1
3473,1
3475,1
3495,1
3507,1
3511,1
3529,1
3535,1
3549,1
3555,1
3571,1
3575,1
3583,1
3601,1
3611,1
3637,1
3643,1
3645,1
3675,1
3687,1
3701,1
3705,1
3707,1
3709,1
3715,1
3717,1
3721,1
3723,1
3731,1
3749,1
3753,1
3759,2
3767,1
3769,2
3771,1
3777,1
3779,1
3785,1
3787,1
3795,1
3799,1
3801,2
3803,2
3805,1
3807,1
3809,1
3813,1
3815,1
3817,1
3819,1
3821,2
3823,2
3831,1
3833,2
3837,1
3839,2
3841,3
3843,3
3845,3
3847,4
3849,1
3851,3
3853,7
3855,5
3857,3
3859,3
3861,3
3863,8
3865,4
3867,2
3871,3
3873,5
3875,2
3877,8
3879,9
3881,4
3883,5
3885,4
3887,6
3889,15
3891,4
3893,11
3895,10
3897,10
3899,9
3901,7
3903,18
3905,14
3907,11
3909,17
3911,12
3913,11
3915,25
3917,18
3919,16
3921,17
3923,31
3925,24
3927,25
3929,31
3931,29
3933,34
3935,17
3937,37
3939,33
3941,39
3943,40
3945,25
3947,31
3949,45
3951,37
3953,53
3955,37
3957,50
3959,53
3961,58
3963,51
3965,56
3967,59
3969,49
3971,73
3973,56
3975,57
3977,63
3979,59
3981,64
3983,68
3985,68
3987,89
3989,53
3991,65
3993,60
3995,71
3997,69
3999,63
4001,73
4003,58
4005,63
4007,58
4009,43
4011,59
4013,55
4015,60
4017,44
4019,48
4021,43
4023,49
4025,50
4027,51
4029,32
4031,35
4033,46
4035,42
4037,34
4039,24
4041,20
4043,23
4045,28
4047,15
4049,21
4051,18
4053,13
4055,19
4057,14
4059,10
4061,17
4063,12
4065,10
4067,12
4069,6
4071,9
4073,3
4075,7
4077,8
4079,8
4081,7
4083,6
4085,4
4087,3
4089,1
4091,2
4093,5
4095,1
4099,5
4103,2
4107,3
4111,1
4115,6
4119,4
4127,2
4131,2
4135,2
4139,1
4143,1
4147,1
4151,2
4155,1
4159,1
4163,1
4167,1
4175,2
4183,1
4187,3
4199,1
4215,1
4231,1
4267,1
4291,1
4307,2
4327,1
4331,1
4347,1
4351,1
4355,1
4363,1
4371,1
4455,1
4499,2
4615,1
4643,1
4731,1
4743,1
4799,1
4807,2
4811,1
4847,1
4863,1
4879,1
4883,2
4895,2
4903,2
4907,1
4911,1
4919,4
4923,1
4927,1
4943,1
4947,1
4951,8
4955,1
4959,1
4963,2
4971,3
4975,3
4983,3
4987,2
4991,1
4999,1
5003,3
5007,1
5011,2
5015,2
5019,1
5023,4
5031,2
5035,2
5043,1
5051,1
5059,1
5087,1
5091,1
5391,1
5487,1
5875,1
5911,1
5939,1
5943,2
5967,1
6071,1
6631,1
6675,2
6751,1
6799,1
6951,1
6963,2
6991,1
6995,1
7031,1
7047,1
7083,1
7823,1
7911,1
7923,1
8003,1
8035,1
8091,1
8399,1
8415,1
8447,1
8479,1
8567,1
8607,1
8639,1
8687,1
8695,1
8799,1
9543,1
9671,1
10431,1
11975,1
13015,1
16911,1
17007,1
17951,1
17967,1
18975,1
19007,2
19887,1
19951,1
20159,1
