latency_us,count
1,38320
2,229086
3,155298
4,26345
5,11811
6,9293
7,6496
8,3289
9,1837
10,1497
11,1541
12,1231
13,965
14,710
15,521
16,413
17,309
18,223
19,210
20,192
21,167
22,169
23,155
24,134
25,113
26,88
27,72
28,68
29,54
30,32
31,34
32,28
33,31
34,27
35,21
36,20
37,23
38,12
39,14
40,19
41,9
42,13
43,15
44,11
45,9
46,18
47,12
48,8
49,12
50,16
51,12
52,7
53,13
54,3
55,11
56,11
57,11
58,9
59,14
60,10
61,15
62,12
63,9
64,11
65,11
66,7
67,5
68,16
69,9
70,8
71,11
72,6
73,12
74,10
75,11
76,12
77,12
78,7
79,12
80,9
81,4
82,14
83,9
84,6
85,11
86,9
87,6
88,11
89,8
90,10
91,12
92,11
93,11
94,11
95,4
96,10
97,11
98,12
99,8
100,8
101,14
102,12
103,8
104,8
105,4
106,8
107,12
108,8
109,11
110,7
111,11
112,8
113,7
114,6
115,9
116,7
117,7
118,9
119,10
120,9
121,12
122,8
123,7
124,8
125,9
126,9
127,10
128,15
129,12
130,14
131,2
132,16
133,10
134,9
135,13
136,2
137,12
138,8
139,9
140,8
141,11
142,11
143,7
144,9
145,10
146,7
147,9
148,9
149,11
150,3
151,6
152,7
153,7
154,6
155,8
156,13
157,7
158,7
159,10
160,9
161,8
162,6
163,5
164,7
165,5
166,10
167,3
168,3
169,9
170,11
171,6
172,4
173,7
174,10
175,7
176,7
177,9
178,9
179,5
180,9
181,7
182,2
183,5
184,4
185,7
186,2
187,6
188,7
189,7
190,4
191,7
192,12
193,4
194,3
195,7
196,6
197,7
198,4
199,6
200,1
201,7
202,4
203,5
204,8
205,7
206,5
207,3
208,4
209,5
210,7
211,6
212,10
213,4
214,6
215,1
216,6
217,12
218,4
219,5
220,7
221,2
222,3
223,1
224,5
225,3
226,4
227,3
228,2
229,2
230,4
231,3
232,2
233,5
234,2
235,2
236,4
237,4
238,2
239,4
240,4
241,3
242,3
243,3
244,1
245,5
246,4
247,4
248,8
249,6
250,7
251,5
252,2
253,5
254,6
255,5
257,3
258,6
259,2
260,3
261,5
262,2
264,5
265,3
266,5
267,2
268,2
269,1
270,2
271,6
272,2
273,1
274,2
275,3
276,4
277,4
278,1
279,1
280,5
281,4
283,3
284,1
285,2
286,4
287,6
288,2
291,1
292,1
293,2
294,2
295,5
296,2
297,1
298,3
299,5
301,3
302,4
303,2
304,2
305,4
306,1
307,5
308,1
309,2
310,1
311,3
312,2
313,1
314,2
315,1
316,7
317,4
318,3
319,5
320,1
321,2
322,3
323,3
324,6
325,1
327,4
328,3
329,5
330,1
331,6
332,2
333,1
334,2
335,1
336,2
337,1
338,1
339,3
340,3
341,3
342,4
343,2
344,4
345,4
346,1
347,3
348,2
349,1
350,1
351,1
352,1
353,6
354,1
356,5
357,3
358,2
359,3
360,1
361,2
362,4
364,3
365,1
366,1
367,3
368,1
369,1
370,3
371,1
372,5
374,2
376,3
377,1
378,1
379,1
380,6
381,3
385,4
386,2
387,4
388,2
390,2
391,4
392,1
393,3
394,2
395,3
396,1
397,2
398,2
400,3
401,1
402,3
403,3
404,2
405,2
406,1
407,3
408,2
409,2
410,1
413,5
414,2
415,4
417,2
418,2
419,3
420,3
421,1
422,1
423,1
424,1
425,5
426,1
427,2
428,5
429,2
430,1
431,2
432,1
433,1
434,3
435,3
436,2
437,4
438,2
439,2
440,1
441,4
442,1
443,2
444,3
445,5
446,1
448,2
449,6
451,1
452,3
453,3
454,2
456,2
457,3
458,2
459,2
461,2
462,4
463,1
464,1
465,3
466,6
467,1
468,1
469,1
470,3
471,4
472,2
473,3
474,1
476,3
478,2
479,3
480,1
481,3
482,1
483,2
484,1
485,4
487,1
488,2
489,2
490,1
491,3
493,3
494,2
495,4
497,2
499,1
500,1
501,3
502,1
503,3
504,3
505,1
506,1
507,1
508,2
509,1
510,1
511,3
512,1
514,2
515,2
516,2
517,2
518,1
519,1
520,1
522,1
523,2
524,2
525,2
526,1
527,2
528,1
529,2
531,1
532,2
533,2
534,2
535,1
539,1
541,1
542,3
543,1
544,1
546,1
547,1
548,2
549,3
550,3
551,2
553,2
554,2
555,2
556,1
557,2
558,2
559,1
560,1
561,4
562,1
564,1
566,2
567,1
568,5
570,2
571,1
572,1
575,1
577,2
580,1
582,1
583,1
584,3
588,3
589,2
590,1
595,1
596,1
597,2
598,4
600,2
601,2
603,1
605,1
606,4
608,2
609,3
610,2
612,3
613,1
614,2
615,2
616,2
617,1
618,1
620,1
622,3
623,2
625,2
626,1
627,1
628,2
629,1
630,3
631,2
632,1
633,1
634,1
635,2
637,2
638,2
641,1
642,1
643,1
649,3
650,1
651,3
652,2
654,1
655,2
656,2
659,1
660,1
661,1
664,1
666,3
667,1
668,1
669,1
670,1
671,3
672,1
673,2
674,1
675,1
676,1
679,1
680,2
682,1
683,1
687,1
693,1
695,1
698,1
700,1
702,1
703,2
705,1
706,1
711,1
714,1
715,1
717,2
719,1
721,1
722,1
723,1
725,1
731,1
733,1
734,2
736,1
737,2
738,1
740,1
741,1
742,1
743,1
745,2
746,1
747,1
748,3
750,2
752,2
754,1
755,1
757,1
762,1
763,2
766,1
769,1
772,3
777,2
778,1
780,2
782,1
786,1
787,1
789,1
790,1
792,1
793,1
795,1
805,1
808,1
815,1
816,1
818,1
822,1
823,2
824,1
827,1
829,1
835,1
839,1
840,2
845,1
847,1
850,1
853,1
858,1
863,1
866,1
870,1
871,2
885,1
887,1
889,1
890,1
894,1
895,1
898,1
900,1
904,1
906,1
907,1
908,1
915,1
918,1
921,1
931,1
939,1
944,1
958,1
960,1
965,1
967,1
970,1
974,2
979,1
980,1
988,1
990,1
996,1
1035,1
1037,1
1038,1
1049,1
1053,1
1057,1
1076,1
1095,1
1105,1
1109,1
1111,2
1112,1
1113,1
1115,1
1124,1
1133,1
1139,1
1143,1
1151,1
1154,1
1155,1
1156,1
1167,1
1171,1
1175,1
1180,1
1182,1
1187,1
1191,2
1217,1
1225,1
1232,1
1240,1
1251,1
1267,1
1276,1
1289,2
1296,1
1297,1
1301,1
1306,2
1309,1
1319,1
1335,1
1337,1
1353,1
1356,1
1373,1
1385,1
1387,1
1397,1
1400,1
1414,1
1430,1
1448,1
1458,1
1463,1
1476,1
1483,1
1496,1
1503,1
1516,2
1517,1
1530,2
1533,1
1540,1
1542,1
1550,1
1569,1
1574,3
1589,1
1602,1
1614,1
1615,1
1621,1
1644,1
1653,1
1668,1
1670,1
1671,2
1672,1
1678,1
1680,1
1684,1
1692,1
1695,1
1701,1
1709,1
1713,1
1715,1
1720,1
1731,1
1746,1
1752,1
1753,1
1757,1
1760,1
1761,1
1776,1
1782,1
1792,1
1801,1
1807,1
1825,1
1827,1
1828,1
1834,1
1860,1
1866,2
1868,1
1876,1
1877,1
1889,1
1904,1
1906,2
1911,1
1916,1
1933,1
1939,1
1943,1
1944,1
1952,1
1954,1
1955,1
1961,1
1967,1
1968,1
1970,1
1971,1
1984,1
1994,1
1999,2
2002,2
2009,1
2011,1
2022,1
2023,1
2029,1
2033,1
2036,1
2055,1
2059,1
2061,1
2065,1
2067,1
2083,1
2101,1
2109,1
2117,1
2119,1
2129,1
2131,1
2135,1
2143,1
2153,1
2171,1
2173,1
2181,1
2189,1
2199,1
2211,1
2227,1
2239,1
2255,1
2263,1
2269,1
2277,1
2285,1
2289,1
2291,1
2295,2
2347,1
2353,1
2359,1
2367,1
2369,1
2371,1
2377,1
2387,1
2389,1
2393,1
2399,1
2403,3
2405,1
2427,1
2443,1
2457,2
2459,1
2461,1
2473,1
2481,1
2483,2
2487,1
2491,1
2493,1
2501,1
2503,1
2505,1
2511,1
2515,1
2525,1
2529,1
2531,2
2537,1
2547,1
2549,1
2551,1
2557,2
2559,1
2561,2
2565,1
2567,1
2577,1
2581,1
2585,1
2591,1
2597,1
2599,2
2601,1
2603,2
2609,1
2611,1
2619,2
2621,2
2623,1
2635,2
2637,1
2641,2
2643,1
2647,2
2649,2
2651,2
2653,1
2655,2
2659,1
2661,1
2665,2
2667,1
2675,1
2679,1
2683,1
2687,1
2689,2
2695,1
2701,1
2703,3
2707,1
2709,1
2711,1
2715,1
2717,1
2725,1
2727,1
2729,3
2731,2
2735,1
2739,1
2741,1
2743,1
2751,3
2753,1
2755,1
2761,4
2763,1
2767,1
2771,3
2773,1
2775,2
2777,2
2779,2
2781,3
2785,1
2787,2
2789,1
2793,2
2795,1
2799,1
2803,1
2805,3
2807,1
2809,1
2811,2
2813,2
2817,2
2819,2
2821,1
2823,2
2827,1
2829,2
2831,1
2833,1
2837,1
2839,1
2843,3
2845,1
2849,3
2851,1
2853,1
2855,1
2857,1
2859,1
2863,3
2865,2
2867,2
2869,2
2871,2
2873,1
2875,2
2877,1
2881,1
2883,2
2885,1
2887,1
2891,2
2893,3
2897,1
2905,1
2907,4
2909,1
2911,1
2913,1
2917,1
2919,1
2921,3
2923,4
2927,4
2929,4
2935,2
2937,1
2939,2
2941,4
2943,2
2945,1
2951,1
2953,3
2955,2
2963,1
2967,4
2969,1
2971,1
2973,3
2975,3
2977,1
2979,1
2983,2
2985,4
2987,2
2989,2
2991,2
2993,2
2995,2
2997,2
2999,1
3003,1
3005,2
3011,2
3013,3
3015,2
3017,1
3021,4
3023,3
3025,1
3027,2
3029,2
3031,7
3033,1
3035,5
3037,3
3039,3
3041,1
3043,1
3045,4
3047,1
3049,2
3051,1
3053,2
3055,2
3057,1
3059,1
3063,1
3065,1
3067,3
3069,2
3071,2
3073,2
3077,2
3079,1
3081,2
3083,4
3087,2
3089,1
3091,3
3093,4
3097,2
3099,1
3101,1
3103,1
3105,2
3107,2
3111,1
3113,5
3117,2
3121,1
3123,3
3125,2
3127,1
3129,2
3131,7
3133,2
3135,3
