latency_us,count
1,1843
2,24103
3,40770
4,24793
5,3734
6,1320
7,666
8,324
9,188
10,98
11,174
12,121
13,80
14,49
15,56
16,29
17,27
18,18
19,14
20,20
21,16
22,21
23,13
24,14
25,19
26,13
27,14
28,8
29,12
30,12
31,9
32,5
33,3
34,1
35,2
36,3
37,1
38,2
39,1
40,2
41,3
42,2
43,1
44,1
46,2
47,2
48,1
49,2
50,2
51,1
52,2
53,1
55,1
56,1
57,3
58,2
61,2
62,3
63,1
64,4
66,3
67,1
68,3
69,1
70,1
73,1
74,1
75,1
77,2
78,1
79,1
80,2
81,1
83,1
85,1
89,3
90,1
91,2
94,3
95,2
96,1
97,2
99,1
100,1
102,2
103,1
104,4
105,2
106,1
107,2
108,1
109,3
112,1
114,3
115,1
116,1
118,2
119,1
121,2
122,1
126,1
128,1
130,3
132,2
134,1
135,1
137,2
138,1
140,1
141,1
142,2
143,2
144,1
145,1
147,1
148,1
151,1
152,1
153,2
154,2
155,1
156,1
157,1
158,1
160,1
161,2
162,2
168,3
169,1
171,3
172,1
173,1
174,2
175,3
176,2
177,3
178,3
185,1
186,1
187,1
188,2
189,3
190,1
191,3
192,3
199,1
203,3
206,1
207,1
211,4
212,2
214,1
216,1
217,1
219,1
220,2
222,1
228,1
231,1
232,2
233,1
234,2
239,1
242,1
244,1
245,1
247,1
251,2
253,1
254,1
256,1
259,1
264,1
266,1
268,1
271,1
281,1
285,1
290,1
295,1
296,1
297,1
298,1
300,1
314,1
315,1
317,1
320,1
323,1
331,1
346,1
349,1
372,1
382,2
388,1
401,1
403,1
404,1
405,1
411,1
413,1
415,1
440,1
443,1
452,1
458,1
512,1
517,2
765,1
815,1
1132,1
1191,1
1352,1
1424,1
1455,1
1471,1
1472,1
1513,1
1763,1
1806,1
1888,1
1934,1
2000,1
2073,1
2093,1
2163,1
2255,1
2281,1
2285,1
2321,1
2375,1
2377,1
2413,1
2415,1
2425,1
2433,1
2453,1
2459,1
2465,1
2479,1
2487,1
2489,1
2495,1
2537,1
2543,1
2547,1
2555,1
2563,1
2601,1
2603,1
2617,1
2649,1
2655,1
2657,1
2683,1
2685,1
2703,1
2729,2
2747,1
2749,1
2755,1
2765,1
2783,1
2787,1
2799,2
2807,1
2811,1
2845,1
2867,1
2871,1
2873,1
2875,1
2881,1
2895,1
2897,1
2915,1
2923,1
2939,1
2959,1
2963,2
2965,1
2979,1
2985,1
2997,1
2999,1
3001,1
3009,1
3025,1
3045,1
3065,1
3069,1
3071,1
3073,1
3077,1
3079,2
3081,2
3089,1
3091,2
3099,1
3105,1
3107,1
3109,1
3113,1
3119,1
3121,1
3125,2
3127,1
3133,2
3135,1
3143,3
3151,1
3155,1
3159,1
3165,1
3169,2
3171,1
3175,3
3179,1
3183,3
3187,1
3197,1
3199,2
3201,1
3203,1
3209,1
3215,2
3217,2
3219,1
3225,2
3235,1
3237,1
3241,1
3243,1
3251,1
3255,1
3259,1
3269,1
3277,1
3279,1
3281,2
3285,2
3287,1
3289,2
3291,1
3293,2
3295,1
3305,1
3319,1
3321,1
3325,2
3327,1
3329,2
3333,3
3341,2
3355,2
3373,2
3375,1
3385,3
3387,1
3389,1
3391,1
3393,1
3399,1
3401,1
3403,1
3405,1
3407,1
3411,1
3413,4
3415,2
3417,1
3419,1
3421,3
3427,1
3429,1
3431,1
3439,1
3441,1
3445,2
3451,1
3455,1
3457,1
3459,1
3461,1
3465,2
3467,2
3473,1
3485,1
3489,1
3497,2
3509,2
3517,2
3521,1
3523,1
3525,1
3527,1
3529,2
3531,2
3533,2
3537,2
3543,1
3545,1
3555,2
3557,1
3563,1
3567,2
3571,1
3577,3
3579,2
3581,2
3597,1
3603,1
3605,1
3607,1
3611,2
3615,2
3621,1
3625,1
3627,1
3629,1
3631,1
3637,1
3639,1
3641,2
3643,1
3647,1
3649,2
3651,1
3653,3
3657,1
3659,4
3663,3
3665,1
3671,3
3673,2
3679,2
3681,1
3683,1
3691,3
3695,2
3697,1
3701,1
3703,1
3705,1
3707,1
3709,1
3711,1
3717,2
3719,1
3721,1
3725,1
3731,1
3735,1
3737,1
3739,1
3743,1
3745,1
3747,2
3749,1
3751,1
3753,2
3755,1
3761,1
3763,1
3767,1
3771,1
3777,1
3781,1
3789,1
3793,2
3795,1
3797,1
3799,1
3803,1
3805,1
3809,2
3811,3
3813,3
3815,2
3819,1
3821,3
3829,1
3835,1
3839,1
3843,1
3847,1
3849,2
3851,2
3855,1
3857,1
3859,1
3861,2
3863,2
3865,2
3867,1
3869,3
3871,2
3873,2
3875,1
3877,1
3879,3
3883,1
3885,1
3887,1
3889,4
3891,1
3893,1
3895,3
3897,1
3905,2
3907,2
3909,1
3911,1
3913,3
3915,2
3917,2
3919,1
3921,1
3923,1
3925,1
3927,2
3929,1
3931,1
3935,2
3943,1
3945,1
3951,1
3955,3
3957,1
3959,2
3961,3
3963,1
3965,1
3967,1
3969,1
3975,1
3977,1
3979,3
3989,1
3991,2
3995,2
4001,4
4003,1
4005,1
4007,2
4009,2
4011,1
4015,1
4017,1
4019,1
4021,5
4025,1
4029,2
4033,1
4035,1
4037,1
4039,3
4041,1
4043,2
4047,4
4049,5
4051,2
4053,1
4055,1
4059,2
4061,2
4063,1
4065,1
4067,1
4069,3
4071,3
4073,1
4079,1
4081,3
4083,2
4089,2
4095,1
4099,1
4107,2
4111,3
4115,2
4119,5
4123,5
4127,3
4131,2
4135,1
4139,1
4143,2
4147,4
4151,2
4155,1
4159,2
4163,2
4167,4
4171,2
4175,1
4179,1
4187,2
4191,2
4195,2
4199,5
4203,2
4207,1
4211,2
4215,2
4219,1
4223,2
4227,2
4231,2
4235,5
4239,3
4243,3
4247,3
4251,1
4255,3
4259,5
4263,4
4267,3
4271,1
4275,1
4279,1
4287,2
4291,4
4295,5
4299,2
4303,2
4307,2
4315,1
4327,2
4331,3
4335,1
4339,3
4347,1
4351,1
4355,2
4359,5
4363,1
4367,2
4371,2
4375,2
4379,2
4383,2
4387,4
4391,2
4395,2
4399,2
4403,1
4407,3
4411,2
4415,1
4423,2
4427,2
4435,3
4439,2
4443,4
4447,2
4451,2
4455,4
4459,2
4463,2
4467,4
4471,2
4475,1
4479,3
4483,1
4487,1
4491,5
4495,4
4499,1
4503,2
4507,4
4511,2
4515,3
4519,4
4523,2
4527,5
4531,1
4539,6
4543,4
4547,1
4551,4
4555,3
4559,8
4563,1
4567,4
4571,2
4575,3
4583,2
4587,3
4591,2
4595,3
4599,2
4603,3
4607,3
4611,6
4615,2
4619,3
4623,2
4627,3
4631,3
4635,2
4639,1
4643,2
4647,2
4651,5
4655,3
4659,1
4663,1
4667,4
4671,4
4675,5
4679,1
4683,2
4687,2
4695,4
4699,6
4707,2
4711,3
4715,1
4719,2
4723,4
4727,2
4731,4
4735,2
4739,1
4751,1
4755,5
4763,1
4767,2
4775,2
4779,1
4783,1
4791,2
4795,3
4799,2
4807,5
4811,3
4815,2
4819,1
4823,3
4827,3
4831,2
4835,1
4839,1
4843,1
4847,1
4855,1
4859,3
4863,1
4867,2
4871,2
4875,3
4883,1
4891,3
4899,1
4903,3
4907,1
4915,2
4927,1
4931,2
4939,2
4943,1
4951,1
4955,2
4959,1
4983,1
4987,1
4999,2
5003,1
5011,2
5023,2
5027,1
5031,1
5039,1
5043,4
5051,1
5055,1
5067,1
5071,1
5075,2
5091,1
5099,1
5111,2
5123,1
5127,1
5135,3
5139,1
5147,1
5163,1
5167,2
5171,2
5175,3
5179,1
5183,1
5187,1
5199,1
5203,1
5207,1
5219,2
5223,1
5235,1
5263,1
5299,1
5303,1
5315,1
5319,1
5327,2
5375,1
5383,1
5411,1
5419,1
5427,1
5451,1
5467,1
5507,1
5531,1
5547,1
5595,1
5635,1
5751,1
5767,1
5803,1
5823,1
5847,1
5923,1
5935,1
6031,1
6095,1
6183,1
6275,1
6291,1
6367,1
6379,1
6423,1
6439,1
6467,1
6511,1
6663,1
6691,1
6863,1
7027,1
7039,1
7123,1
7131,1
7143,1
7171,1
7215,2
7223,1
7227,1
7239,1
7247,2
7263,1
7283,2
7299,1
7303,1
7307,3
7311,1
7315,1
7339,1
7351,2
7355,1
7359,2
7363,1
7367,1
7375,1
7379,2
7387,1
7399,1
7407,1
7419,3
7431,1
7447,1
7455,1
7463,1
7467,1
7471,1
7479,2
7487,2
7499,1
7503,1
7507,3
7519,3
7523,5
7531,1
7539,1
7543,2
7575,2
7579,1
7591,1
7599,1
7607,1
7611,1
7631,1
7639,1
7651,1
7663,2
7667,2
7679,1
7683,2
7723,1
7735,3
7739,1
7743,1
7755,2
7767,1
7779,1
7783,1
7803,1
7835,1
7839,1
7867,1
7891,2
7895,1
7955,1
7995,1
8003,1
8043,1
8059,1
8127,2
8247,1
8319,2
8359,1
8471,1
8583,1
8591,1
8719,1
9127,1
9567,1
9583,1
9959,1
11151,1
11607,1
12151,1
12327,1
