latency_us,count
0,28429
1,14963
2,2830
3,2869
4,2874
5,2842
6,2798
7,2641
8,2563
9,2590
10,2651
11,2581
12,2466
13,2509
14,2567
15,2546
16,2542
17,2442
18,2449
19,2414
20,2497
21,2347
22,2412
23,2363
24,2305
25,2394
26,2393
27,2362
28,2352
29,2406
30,2284
31,2374
32,2220
33,2310
34,2296
35,2209
36,2286
37,2403
38,2310
39,2332
40,2414
41,2446
42,2497
43,2422
44,2438
45,2430
46,2410
47,2502
48,2681
49,2657
50,2502
51,2573
52,2640
53,2608
54,2597
55,2604
56,2583
57,2544
58,2574
59,2726
60,2856
61,2823
62,2810
63,2663
64,2630
65,2562
66,2631
67,2723
68,2802
69,2756
70,2728
71,2755
72,2822
73,2880
74,2844
75,2806
76,2789
77,2741
78,2798
79,2771
80,2698
81,2874
82,2810
83,2876
84,2794
85,2791
86,2816
87,2677
88,2749
89,2717
90,2788
91,2806
92,2813
93,2785
94,2716
95,2752
96,2761
97,2729
98,2655
99,2583
100,2582
101,2536
102,2484
103,2432
104,2413
105,2445
106,2358
107,2346
108,2210
109,2116
110,2174
111,2198
112,2104
113,2108
114,1997
115,1871
116,1940
117,1889
118,1828
119,1853
120,1815
121,1798
122,1850
123,1775
124,1756
125,1661
126,1603
127,1605
128,1542
129,1511
130,1484
131,1395
132,1395
133,1390
134,1388
135,1302
136,1297
137,1253
138,1261
139,1189
140,1107
141,1102
142,973
143,1082
144,947
145,926
146,879
147,808
148,837
149,826
150,746
151,710
152,746
153,720
154,683
155,692
156,650
157,618
158,607
159,624
160,573
161,476
162,525
163,476
164,444
165,467
166,386
167,359
168,349
169,307
170,271
171,283
172,247
173,194
174,206
175,213
176,173
177,165
178,152
179,111
180,140
181,96
182,102
183,108
184,74
185,83
186,68
187,61
188,64
189,66
190,47
191,46
192,41
193,53
194,33
195,39
196,48
197,33
198,32
199,34
200,32
201,29
202,25
203,18
204,20
205,35
206,23
207,27
208,23
209,29
210,27
211,22
212,24
213,24
214,31
215,23
216,37
217,12
218,20
219,21
220,23
221,20
222,14
223,23
224,18
225,16
226,21
227,25
228,28
229,15
230,16
231,21
232,15
233,15
234,24
235,14
236,21
237,16
238,12
239,19
240,14
241,17
242,18
243,11
244,14
245,13
246,11
247,12
248,20
249,18
250,18
251,14
252,19
253,16
254,12
255,25
256,9
257,6
258,13
259,7
260,17
261,18
262,10
263,9
264,9
265,9
266,10
267,9
268,12
269,14
270,7
271,19
272,12
273,9
274,10
275,12
276,13
277,4
278,9
279,9
280,14
281,10
282,10
283,17
284,7
285,7
286,9
287,11
288,11
289,10
290,12
291,10
292,8
293,3
294,6
295,5
296,11
297,7
298,9
299,7
300,7
301,2
302,9
303,11
304,3
305,11
306,3
307,8
308,7
309,8
310,11
311,5
312,6
313,4
314,10
315,5
316,4
317,7
318,6
319,8
320,10
321,3
322,5
323,9
324,7
325,8
326,7
327,5
328,3
329,7
330,6
331,3
332,2
333,6
334,7
335,2
336,3
337,8
338,5
339,3
340,5
341,7
343,6
344,4
345,5
346,6
347,7
348,3
349,2
350,4
351,2
352,3
353,9
354,4
355,6
356,5
357,6
358,4
359,5
360,13
361,4
362,9
363,4
364,1
365,4
366,4
367,10
368,6
369,4
370,4
371,3
372,7
374,13
375,9
376,2
377,3
378,2
379,2
380,6
381,4
382,6
383,3
384,3
385,3
386,1
387,1
388,2
389,6
390,5
391,7
392,1
393,4
394,2
395,2
396,2
397,2
398,3
399,4
400,4
401,3
402,1
403,4
404,4
405,3
406,3
407,3
408,2
409,3
410,1
411,5
412,2
413,4
414,6
415,2
416,4
417,3
418,2
419,2
420,1
421,4
424,5
425,3
426,3
428,4
429,3
430,4
431,1
432,6
433,4
434,2
435,5
436,6
437,1
438,3
439,3
440,2
441,4
442,4
443,1
444,4
445,2
446,2
447,3
448,5
449,4
450,2
451,3
452,4
453,2
454,4
455,2
456,2
457,2
458,5
459,5
460,5
461,6
462,4
463,2
464,3
465,3
467,1
468,3
469,2
470,3
471,1
472,1
473,2
474,2
475,4
476,2
477,2
478,3
479,2
480,3
481,3
482,1
483,4
484,1
485,3
486,2
488,5
489,5
491,4
492,3
495,3
496,1
497,2
498,3
499,1
500,2
501,1
502,1
503,3
504,4
505,1
506,2
507,2
509,2
510,2
511,1
512,1
513,4
514,1
515,1
516,2
517,5
518,3
519,3
520,2
521,2
522,2
523,5
524,4
525,2
526,4
527,1
528,1
529,5
530,3
531,2
532,2
533,3
534,1
535,4
536,1
537,3
538,2
539,3
540,2
542,2
543,1
544,2
546,6
547,3
548,1
549,3
551,4
552,2
553,9
554,2
555,2
556,1
557,2
558,4
559,1
560,1
562,2
564,4
565,3
566,4
567,1
568,3
569,1
570,2
571,1
572,5
573,1
574,1
575,2
576,3
577,2
578,4
579,3
580,1
581,1
582,3
583,3
584,3
585,1
586,1
588,1
589,2
590,2
591,2
592,1
593,2
594,1
595,1
598,4
599,1
600,1
601,1
602,2
603,4
604,1
605,3
606,3
607,2
608,1
609,4
610,1
611,4
612,7
613,3
614,1
615,2
616,2
617,4
618,2
620,1
621,2
622,3
623,1
624,1
625,1
626,1
627,2
628,1
629,1
630,4
631,1
632,4
633,2
634,3
635,2
636,1
637,2
638,2
639,2
640,1
641,2
642,2
643,4
644,2
648,2
649,1
650,1
651,5
652,2
653,1
654,4
656,3
658,1
659,3
662,5
664,2
665,2
667,1
668,3
669,2
670,2
671,1
672,2
673,2
675,1
676,1
677,2
679,2
681,5
682,1
683,4
684,3
685,1
686,1
687,4
688,2
689,3
690,3
691,1
692,2
693,1
695,2
696,1
697,4
698,1
699,1
700,3
701,3
702,1
703,3
704,1
705,1
706,1
707,4
708,1
709,2
710,4
711,3
712,2
714,1
715,1
716,2
718,2
720,3
721,2
722,4
723,2
724,1
726,2
727,2
729,2
730,1
731,3
732,2
736,1
737,3
738,4
740,3
741,5
742,2
743,3
744,1
745,2
746,2
747,1
748,1
749,1
750,3
751,1
752,2
753,3
754,3
755,2
756,2
757,1
759,4
760,1
761,1
762,3
763,1
764,1
765,2
766,1
767,1
768,1
770,3
771,2
772,1
773,3
774,3
775,1
776,2
777,1
779,1
781,2
782,2
785,2
786,1
787,1
788,1
789,1
790,1
791,3
794,2
795,5
796,1
797,1
799,1
800,2
802,3
803,2
805,2
806,1
807,2
808,1
811,2
812,1
813,1
814,2
815,1
816,2
817,1
819,1
821,1
823,2
824,1
825,1
828,1
829,3
832,2
833,2
834,3
836,2
837,1
839,1
840,1
841,3
842,1
843,2
845,2
847,2
848,2
849,2
850,1
851,3
852,1
854,1
855,1
856,4
857,2
859,1
861,1
862,2
863,1
864,1
868,2
869,1
870,2
871,2
872,1
873,3
875,1
877,3
878,1
879,2
880,1
881,1
882,3
883,2
884,3
885,1
886,1
887,1
889,2
891,2
893,2
895,1
896,2
897,1
899,1
901,4
905,2
906,2
908,2
909,1
910,1
912,1
914,1
916,1
918,2
919,2
920,1
921,5
922,3
925,2
926,1
928,2
930,1
931,1
932,2
933,2
934,2
936,2
938,1
939,1
940,1
941,1
943,1
944,1
945,2
946,1
950,1
951,1
954,1
955,1
956,2
957,2
958,2
960,2
962,1
964,1
966,1
968,2
969,2
970,1
971,2
972,1
976,1
977,2
978,1
979,2
980,3
981,3
982,1
984,1
985,3
986,3
987,1
988,2
990,2
991,1
993,1
996,4
997,3
1004,1
1006,2
1009,1
1010,1
1011,3
1014,2
1016,1
1019,1
1021,3
1022,2
1024,1
1025,1
1026,1
1029,2
1030,1
1035,1
1036,2
1038,1
1039,2
1040,3
1042,1
1051,2
1053,1
1054,1
1055,4
1056,2
1057,1
1058,2
1059,3
1060,1
1061,1
1062,1
1063,1
1064,1
1065,2
1066,1
1068,1
1069,1
1070,2
1072,1
1073,2
1075,2
1076,1
1077,1
1079,1
1080,2
1081,1
1082,3
1083,3
1084,2
1085,1
1089,2
1090,2
1091,1
1094,3
1095,1
1097,1
1098,1
1099,2
1100,1
1103,1
1104,2
1106,1
1107,1
1108,2
1109,2
1111,1
1112,3
1113,2
1114,1
1115,2
1116,2
1120,1
1121,3
1123,1
1124,1
1127,2
1131,2
1132,1
1133,2
1134,2
1135,2
1136,2
1137,4
1139,1
1140,1
1141,3
1142,2
1144,2
1146,1
1147,2
1148,1
1149,1
1150,2
1151,3
1155,1
1156,1
1160,1
1162,1
1164,2
1165,2
1167,1
1169,1
1170,1
1171,1
1172,1
1179,2
1180,2
1182,1
1186,1
1190,1
1193,1
1198,1
1204,1
1206,2
1208,1
1209,1
1211,2
1212,1
1213,2
1215,1
1217,3
1221,1
1222,2
1223,1
1224,1
1225,2
1226,1
1229,1
1230,3
1234,1
1235,1
1236,1
1238,2
1241,2
1242,1
1244,1
1245,1
1246,2
1248,1
1249,3
1252,1
1253,1
1254,1
1255,2
1257,1
1258,1
1260,1
1264,1
1268,1
1269,1
1274,1
1275,1
1278,1
1282,2
1285,2
1286,1
1287,1
1291,2
1293,1
1294,1
1295,2
1300,2
1301,1
1306,1
1310,1
1311,1
1312,1
1314,1
1317,1
1322,1
1323,1
1324,2
1326,1
1328,1
1329,1
1332,1
1335,2
1336,1
1338,1
1339,1
1341,1
1344,1
1348,1
1350,2
1355,1
1356,1
1365,1
1366,2
1367,1
1372,1
1377,1
1378,1
1387,1
1389,1
1391,1
1392,1
1394,1
1404,1
1410,1
1417,1
1418,1
1420,1
1425,1
1428,1
1433,1
1437,1
1440,1
1441,1
1449,2
1452,1
1453,1
1456,1
1461,2
1464,1
1465,1
1475,1
1481,1
1485,1
1487,1
1489,1
1495,1
1502,2
1511,1
1519,1
1520,1
1524,1
1525,1
1527,1
1532,1
1543,1
1557,1
1561,1
1566,1
1572,1
1576,1
1594,1
1605,1
1609,1
1611,1
1614,2
1615,1
1621,1
1638,2
1639,1
1643,1
1648,1
1655,1
1656,1
1658,1
1664,1
1667,1
1671,1
1673,1
1674,1
1676,2
1695,1
1700,1
1705,1
1710,1
1714,1
1724,1
1731,1
1733,1
1741,1
1749,2
1750,1
1754,1
1756,1
1772,1
1774,1
1794,1
1798,1
1814,1
1828,1
1835,1
1842,1
1855,1
1856,1
1857,1
1890,1
1904,1
1909,1
1910,1
1922,1
1927,1
1961,1
1964,1
1969,1
1995,1
2003,1
2011,1
2021,1
2024,1
2041,1
2049,1
2055,1
2057,1
2059,1
2067,1
2091,1
2107,1
2109,1
2123,1
2165,1
2187,1
2189,1
2217,1
2221,1
2223,1
2229,1
2239,1
2273,1
2313,1
2319,1
2327,1
2329,1
2333,1
2349,1
2357,1
2433,1
2435,1
2441,2
2451,1
2463,1
2471,1
2487,1
2499,1
2597,1
2669,1
2689,1
2715,1
2731,1
2751,1
2753,1
2755,1
2783,1
2803,1
2845,1
2873,1
2879,1
2881,1
2915,1
2931,1
2963,1
2969,1
2971,1
2983,1
2987,1
3207,1
3251,1
3279,1
3285,1
3295,1
3335,1
3393,1
3419,1
3445,1
3471,1
3515,1
3615,1
3707,1
3741,1
3765,1
3897,1
3925,1
4115,1
4147,1
4223,2
4319,1
4507,1
4647,1
4763,1
4935,1
5023,1
5219,1
5999,1
6523,1
7179,1
8719,1
9119,1
9895,1
10959,1
11767,1
23359,1
